Wall time,Step,Value
1748168157.674764,1,689.5838623046875
1748168163.9482195,2,313.04998779296875
1748168170.3066077,3,242.72378540039062
1748168176.6043866,4,207.2996063232422
1748168182.8183258,5,183.8049774169922
1748168189.1720698,6,166.40821838378906
1748168195.5458906,7,152.5733642578125
1748168201.6852908,8,141.42398071289062
1748168208.0526044,9,132.44874572753906
1748168214.4276376,10,124.9494400024414
1748168220.864574,11,118.1695785522461
1748168227.240693,12,112.67913818359375
1748168233.6727672,13,107.45955657958984
1748168239.980055,14,103.19564819335938
1748168246.2715213,15,99.05091094970703
1748168252.5323439,16,95.61593627929688
1748168258.8225088,17,92.56011199951172
1748168265.2213807,18,89.57618713378906
1748168271.3575974,19,86.96986389160156
1748168277.6845431,20,84.4990463256836
1748168284.0977323,21,82.42781066894531
1748168290.4529877,22,80.34947967529297
1748168296.5825393,23,78.47686004638672
1748168305.456681,24,76.81404876708984
1748168316.5616002,25,75.08602905273438
1748168327.804765,26,73.6543197631836
1748168338.7971306,27,72.2461166381836
1748168349.7830868,28,71.0784683227539
1748168360.9040668,29,69.74533081054688
1748168371.9458132,30,68.46472930908203
1748168382.8997197,31,67.22382354736328
1748168392.7706842,32,66.2576675415039
1748168403.6785924,33,65.08177947998047
1748168413.5646117,34,64.24134063720703
1748168424.501547,35,63.32131576538086
1748168434.507403,36,62.25052261352539
1748168445.6160083,37,61.555641174316406
1748168455.4697533,38,60.74708557128906
1748168465.3054323,39,60.091922760009766
1748168475.1703951,40,56.33384704589844
