Wall time,Step,Value
1748168157.6748214,1,6.536088466644287
1748168163.9482584,2,5.746362686157227
1748168170.306653,3,5.491924285888672
1748168176.6044276,4,5.334165096282959
1748168182.818369,5,5.2138752937316895
1748168189.1721163,6,5.114443778991699
1748168195.545933,7,5.027645587921143
1748168201.6853328,8,4.9517621994018555
1748168208.052646,9,4.886195659637451
1748168214.4276776,10,4.827908992767334
1748168220.8646152,11,4.772120475769043
1748168227.2407484,12,4.724544525146484
1748168233.6728082,13,4.677114486694336
1748168239.9800968,14,4.636626720428467
1748168246.2715662,15,4.5956339836120605
1748168252.532384,16,4.560339450836182
1748168258.8225522,17,4.527858257293701
1748168265.2214217,18,4.495089530944824
1748168271.3576353,19,4.465561866760254
1748168277.6845899,20,4.436740398406982
1748168284.0977728,21,4.411922931671143
1748168290.4530292,22,4.386385440826416
1748168296.5825815,23,4.362803936004639
1748168305.4567199,24,4.3413872718811035
1748168316.5616386,25,4.318634510040283
1748168327.8048031,26,4.29938268661499
1748168338.797168,27,4.280078411102295
1748168349.78313,28,4.263784408569336
1748168360.9041073,29,4.2448506355285645
1748168371.945851,30,4.226318836212158
1748168382.8997605,31,4.2080278396606445
1748168392.7707243,32,4.193551063537598
1748168403.678633,33,4.175644874572754
1748168413.56465,34,4.162646770477295
1748168424.501593,35,4.148221969604492
1748168434.507442,36,4.131166934967041
1748168445.6160462,37,4.119941711425781
1748168455.469792,38,4.106719017028809
1748168465.3054748,39,4.095875263214111
1748168475.1704333,40,4.031295299530029
