Wall time,Step,Value
1748157954.8725207,1,6.826606750488281
1748158176.6531823,2,6.593058109283447
1748158402.4029288,3,6.568087577819824
1748158629.596412,4,6.298123359680176
1748158856.7327807,5,6.058290958404541
1748159081.188928,6,5.894968509674072
1748159302.4538374,7,5.76751184463501
1748159524.0296943,8,5.6660871505737305
1748159746.223068,9,5.585783004760742
1748159968.467398,10,5.520625591278076
1748160189.6164212,11,5.461380481719971
1748160410.5927577,12,5.412995338439941
1748160644.3186,13,5.368783473968506
1748160884.7318058,14,5.329326629638672
1748161124.7341676,15,5.295945644378662
1748161363.8300385,16,5.264806747436523
1748161604.7029939,17,5.236001014709473
1748161845.1631198,18,5.209261417388916
1748162085.6715453,19,5.185424327850342
1748162326.847623,20,5.163299083709717
1748162567.4871032,21,5.143474578857422
1748162808.6663718,22,5.122059345245361
1748163048.5571666,23,5.102681636810303
1748163287.5384479,24,5.084242820739746
1748163526.4925487,25,5.066254615783691
1748163765.8730874,26,5.05058479309082
1748164005.2333014,27,5.034749507904053
1748164244.1548183,28,5.019134521484375
1748164483.0506134,29,5.007033824920654
1748164722.126955,30,4.99384880065918
1748164961.2332647,31,4.981483459472656
1748165200.531573,32,4.96683931350708
1748165439.398115,33,4.952695846557617
1748165678.7343316,34,4.941866397857666
1748165917.9712698,35,4.93002986907959
1748166157.0472684,36,4.917521953582764
1748166396.4235442,37,4.906582355499268
1748166637.0089786,38,4.896786689758301
1748166876.6243072,39,4.888553619384766
1748167115.7327669,40,4.877817153930664
